1369387816.470662 1 2692 29395 9
1369387817.474659 3 5289 30613 17
1369387818.478662 3 4605 31311 15
1369387819.482664 2 19 107 0
1369387820.486651 2 3 7 0
1369387821.490645 2 3 5 0
1369387822.494668 2 11 81 1
1369387823.498665 2 203 793 13
1369387824.502663 41 265 880 33
1369387825.506652 123 651 2171 89
1369387826.510647 2 1084 2663 80
1369387827.514666 3 846 2210 33
1369387828.518650 99 1285 3856 15
1369387829.522663 3 963 5871 16
1369387830.526651 2 1641 6919 26
1369387831.530647 39 3009 7435 38
1369387832.534690 4 1380 9692 14
1369387833.538650 1 1279 9774 9
1369387834.542654 9 1250 8598 11
1369387835.546658 3 2373 11600 20
1369387836.550654 3 2736 12935 19
1369387837.554664 39 1708 13683 7
1369387838.558652 2 2279 14247 13
1369387839.562655 8 1410 15594 7
1369387840.566656 7 2086 16853 11
1369387841.570647 3 267 627 0
1369387842.574652 1458 4189 18865 13
1369387843.578666 44 4502 19859 20
1369387844.582657 2 853 20831 4
1369387845.586658 2 3 6 0
1369387846.590644 2 3 8 0
1369387847.594667 1 13 208 2
1369387848.598655 10 365 1165 100
1369387850.606663 3 772 2264 33
1369387851.610700 39 2000 3946 60
1369387852.614682 2 1681 4811 50
1369387853.618707 2 2199 5482 44
1369387854.622675 3 2271 7100 40
1369387855.626669 4 1122 7212 15
1369387856.630653 1 2257 8932 26
1369387857.634674 2 2217 10212 25
1369387858.638651 2 1771 11031 18
1369387859.642649 2 3 5 0
1369387860.646650 1 3 13 1
1369387861.650648 2 56 361 35
1369387862.654654 224 695 1113 100
1369387863.658644 15 818 2068 78
1369387864.662656 52 1892 3588 81
1369387865.666681 2 1692 4384 54
1369387866.670661 2 1593 5590 37
1369387867.674665 3 1525 6307 29
1369387868.678693 3 1852 7434 30
1369387869.682712 2 1472 8170 22
1369387870.686650 2 10 102 0
1369387871.690646 2 45 349 16
1369387872.694648 1 181 1325 26
1369387873.698639 56 646 1625 100
1369387874.702647 2 1240 3224 50
1369387875.706667 23 1647 4507 53
1369387876.710649 13 352 1902 12
1369387877.714640 3 2096 6028 44
1369387878.718678 1 2370 6764 40
1369387879.722668 2 1698 7874 27
1369387880.726660 2 1032 8815 16
1369387881.730675 1 12 155 2
1369387882.734648 3 185 641 18
1369387883.738693 104 762 1689 78
1369387884.742663 8 1322 2910 67
